=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:21:29
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6

=== ИТОГИ ===
Всего сделок,486
Средняя доходность %,4.78
Медианная доходность %,1.98
Win rate %,70.4
Profit factor,8.15
Sharpe,2.79
Макс просадка %,29.30
Общая доходность %,37786190.44
CAGR %,0.00
Макс выигрыш %,108.22
Макс проигрыш %,-28.12
Ср. выигрыш %,7.74
Ср. проигрыш %,2.25
Макс серия побед,11
Макс серия потерь,7
Ср. удержание дней,5.8
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
38,KCHE,S2,STRONG,5.20,6.11,2016-01-29,2016-02-01,2016-02-09,0.12,0.12,0.14,6,ts_extend
39,NKNCP,S2,ULTRA,8.19,2.98,2016-02-08,2016-02-09,2016-02-17,24.64,24.51,-0.52,6,ts_extend
40,MRKS,S2,ULTRA,7.15,4.71,2016-02-16,2016-02-17,2016-02-25,0.05,0.05,4.19,6,ts_extend
41,RKKE,S2,STRONG,5.54,3.06,2016-02-24,2016-02-25,2016-03-04,3405.44,3418.84,0.39,6,ts_extend
42,LSRG,S2,ULTRA,9.47,1.86,2016-03-03,2016-03-04,2016-03-18,654.04,674.54,3.13,9,ts_extend
43,KZOS,S2,ULTRA,7.69,3.13,2016-03-21,2016-03-22,2016-03-30,40.06,41.08,2.54,6,ts_extend
44,KRKOP,S2,ULTRA,8.96,6.62,2016-03-29,2016-03-30,2016-04-07,2.82,2.77,-1.96,6,ts_extend
45,MRKS,S2,ULTRA,7.34,3.63,2016-04-06,2016-04-07,2016-04-15,0.06,0.06,5.52,6,ts_extend
46,SVAV,S2,STRONG,6.53,2.17,2016-04-14,2016-04-15,2016-04-19,453.72,473.24,4.30,2,rotate_atr20
47,NKNC,S2,STRONG,6.53,3.14,2016-04-14,2016-04-15,2016-04-20,51.88,53.11,2.37,3,rotate_atr20
48,SAREP,S2,STRONG,5.87,6.50,2016-04-18,2016-04-19,2016-04-27,0.19,0.24,30.78,6,ts_extend
49,MRKU,S2,STRONG,5.52,8.30,2016-04-19,2016-04-20,2016-04-28,0.12,0.12,-0.28,6,ts_extend
50,TNSE,S2,STRONG,5.18,2.63,2016-04-26,2016-04-27,2016-05-10,1677.68,1699.60,1.31,6,ts_extend
51,MRKU,S2,ULTRA,7.11,4.85,2016-05-16,2016-05-17,2016-05-25,0.12,0.13,8.01,6,ts_extend
52,VLHZ,S2,ULTRA,9.51,1.53,2016-06-06,2016-06-07,2016-06-17,138.22,135.52,-1.96,6,ts_extend
53,PMSB,S2,ULTRA,9.34,1.87,2016-06-27,2016-06-28,2016-07-06,54.09,53.03,-1.96,6,ts_extend
54,PMSBP,S2,ULTRA,9.49,1.64,2016-06-27,2016-06-28,2016-07-06,54.09,53.03,-1.96,6,ts_extend
55,TORSP,S2,ULTRA,8.51,2.44,2016-07-06,2016-07-07,2016-07-15,0.49,0.50,3.54,6,ts_extend
56,NNSBP,S2,ULTRA,7.62,2.17,2016-07-06,2016-07-07,2016-07-21,995.59,976.11,-1.96,6,ts_extend
57,MGTS,S2,STRONG,5.72,3.40,2016-07-14,2016-07-15,2016-07-25,929.48,927.41,-0.22,6,ts_extend
58,SELG,S2,STRONG,5.15,2.33,2016-07-20,2016-07-21,2016-07-26,9.01,7.79,-13.61,3,rotate_atr20
59,TGKB,S2,ULTRA,8.00,3.66,2016-07-22,2016-07-25,2016-08-02,0.00,0.00,3.41,6,ts_extend
60,MRKK,S2,ULTRA,7.87,3.94,2016-07-25,2016-07-26,2016-08-03,16.93,17.16,1.36,6,ts_extend
61,NKHP,S2,STRONG,5.28,1.78,2016-08-01,2016-08-02,2016-08-11,279.45,279.01,-0.16,6,ts_extend
62,RTGZ,S2,ULTRA,8.98,1.94,2016-08-12,2016-08-15,2016-08-23,13822.08,14363.28,3.92,6,ts_extend
63,STSB,S2,STRONG,6.81,3.06,2016-08-23,2016-08-24,2016-09-01,0.33,0.45,35.49,6,ts_extend
64,SVAV,S2,STRONG,6.48,1.95,2016-08-31,2016-09-01,2016-09-02,481.77,478.23,-0.73,1,rotate_atr20
65,MTLR,S2,STRONG,5.18,2.57,2016-08-31,2016-09-01,2016-09-05,72.42,71.14,-1.77,2,rotate_atr20
66,RBCM,S2,STRONG,6.43,2.93,2016-09-01,2016-09-02,2016-09-12,6.72,7.16,6.49,6,ts_extend
67,MAGEP,S2,STRONG,6.75,4.89,2016-09-02,2016-09-05,2016-09-13,3.14,3.31,5.61,6,ts_extend
68,DVEC,S2,ULTRA,7.16,4.17,2016-09-21,2016-09-22,2016-09-30,0.70,0.69,-0.85,6,ts_extend
69,LIFE,S2,STRONG,5.74,3.13,2016-10-05,2016-10-06,2016-10-14,15.83,15.55,-1.76,6,ts_extend
70,KOGK,S2,STRONG,5.11,6.31,2016-10-17,2016-10-18,2016-10-26,490.78,569.81,16.10,6,ts_extend
71,TGKA,S2,ULTRA,7.46,2.58,2016-11-08,2016-11-09,2016-11-17,0.01,0.01,6.02,6,ts_extend
72,PRFN,S2,ULTRA,9.13,17.03,2016-11-21,2016-11-22,2016-11-23,7.43,5.34,-28.12,1,cat_stop
73,BRZL,S2,ULTRA,8.91,2.54,2016-12-02,2016-12-05,2016-12-13,1297.07,1289.26,-0.60,6,ts_extend
74,KZOS,S2,STRONG,6.18,1.59,2016-12-12,2016-12-13,2016-12-21,43.77,45.00,2.80,6,ts_extend
75,ARSA,S2,STRONG,5.53,2.60,2016-12-20,2016-12-21,2016-12-29,3.46,3.93,13.72,6,ts_extend
76,TGKN,S2,STRONG,6.64,4.02,2016-12-29,2016-12-30,2017-01-10,0.00,0.00,3.00,6,ts_extend
77,ASSB,S2,STRONG,5.39,1.78,2017-01-13,2017-01-16,2017-01-24,0.58,0.62,7.59,6,ts_extend
78,SELG,S2,STRONG,5.15,3.90,2017-01-23,2017-01-24,2017-02-01,10.32,11.79,14.27,6,ts_extend
79,UNAC,S2,STRONG,5.73,3.00,2017-02-03,2017-02-06,2017-02-14,0.60,0.61,2.04,6,ts_extend
80,RTSBP,S2,ULTRA,7.46,2.14,2017-02-15,2017-02-16,2017-03-02,0.30,0.29,-1.96,6,ts_extend
81,BISVP,S2,ULTRA,7.50,1.59,2017-03-06,2017-03-09,2017-03-21,3.81,4.15,8.96,6,ts_extend
82,PIKK,S2,STRONG,5.26,1.54,2017-03-30,2017-03-31,2017-04-10,297.07,291.85,-1.76,6,ts_extend
83,KRSBP,S2,STRONG,6.87,3.36,2017-04-21,2017-04-24,2017-05-03,4.12,4.22,2.62,6,ts_extend
84,NKHP,S2,STRONG,6.19,4.48,2017-05-11,2017-05-12,2017-05-22,192.81,205.33,6.49,6,ts_extend
85,IGSTP,S2,ULTRA,7.54,5.09,2017-05-11,2017-05-12,2017-05-23,596.95,621.59,4.13,6,ts_extend
86,PMSB,S2,STRONG,6.09,2.07,2017-05-29,2017-05-30,2017-06-07,68.21,67.69,-0.76,6,ts_extend
87,RNFT,S2,STRONG,6.09,1.53,2017-06-14,2017-06-15,2017-06-23,598.96,604.19,0.87,6,ts_extend
88,BISVP,S2,STRONG,6.63,2.05,2017-07-04,2017-07-06,2017-07-17,3.90,3.84,-1.41,6,ts_extend
89,KAZT,S2,ULTRA,7.80,1.58,2017-07-06,2017-07-07,2017-07-14,86.14,87.76,1.88,3,rotate_atr20
90,IRKT,S2,ULTRA,7.88,2.85,2017-07-13,2017-07-14,2017-07-24,10.97,11.06,0.84,6,ts_extend
91,MSTT,S2,ULTRA,7.70,1.51,2017-07-14,2017-07-17,2017-07-28,105.67,107.26,1.50,9,ts_extend
92,MRKY,S2,STRONG,6.39,4.51,2017-07-26,2017-07-27,2017-08-04,0.05,0.05,0.13,6,ts_extend
93,RTGZ,S2,ULTRA,8.94,1.73,2017-08-07,2017-08-08,2017-08-15,14973.92,14077.44,-5.99,5,rotate_atr20
94,NKHP,S2,ULTRA,7.35,2.97,2017-08-07,2017-08-08,2017-08-16,188.80,200.01,5.94,6,ts_extend
95,VGSB,S2,ULTRA,9.73,4.50,2017-08-14,2017-08-15,2017-08-25,1.02,1.05,3.19,6,ts_extend
96,FESH,S2,ULTRA,7.15,4.58,2017-08-17,2017-08-18,2017-08-28,4.59,4.61,0.45,6,ts_extend
97,MTLR,S1,STRONG,6.11,3.33,2017-08-23,2017-08-24,2017-09-04,160.56,168.98,5.24,7,ts_extend
98,LNZL,S2,ULTRA,8.08,3.48,2017-08-24,2017-08-25,2017-09-04,6800.86,6863.00,0.91,6,ts_extend
99,SAREP,S2,ULTRA,8.14,7.04,2017-08-29,2017-08-30,2017-09-07,0.08,0.08,10.94,6,ts_extend
100,UNAC,S2,ULTRA,7.92,2.00,2017-09-04,2017-09-05,2017-09-11,0.74,0.77,4.18,4,rotate_atr20
101,AFKS,S1,ULTRA,9.16,3.77,2017-09-05,2017-09-06,2017-09-14,14.12,14.10,-0.10,6,ts_extend
102,ROST,S2,STRONG,6.89,5.46,2017-09-06,2017-09-07,2017-09-15,74.02,86.26,16.53,6,ts_extend
