=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:23:05
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,3.6
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,758
Средняя доходность %,4.87
Медианная доходность %,1.67
Win rate %,70.2
Profit factor,6.77
Sharpe,2.85
Макс просадка %,30.42
Общая доходность %,2036816323.11
CAGR %,0.00
Макс выигрыш %,91.71
Макс проигрыш %,-28.12
Ср. выигрыш %,8.13
Ср. проигрыш %,2.83
Макс серия побед,22
Макс серия потерь,4
Ср. удержание дней,5.1
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
34,LSNGP,S2,STRONG,5.12,4.07,2015-10-06,2015-10-07,2015-10-08,12.17,12.08,-0.73,1,rotate_atr20
35,KRSBP,S2,STRONG,8.83,5.56,2015-10-06,2015-10-07,2015-10-16,2.94,2.89,-1.76,6,ts_extend
36,SBERP,S1,BASE,3.69,2.15,2015-10-07,2015-10-08,2015-10-15,64.34,67.14,4.35,5,max_hold
37,YKENP,S2,STRONG,9.05,8.66,2015-10-07,2015-10-08,2015-10-16,0.23,0.31,36.47,6,ts_extend
38,MFGSP,S2,STRONG,5.10,1.93,2015-10-15,2015-10-16,2015-10-27,623.00,633.66,1.71,6,ts_extend
39,NMTP,S2,STRONG,5.76,2.45,2015-10-27,2015-10-28,2015-11-06,3.08,3.15,2.39,6,ts_extend
40,RGSS,S1,STRONG,9.43,1.46,2015-11-05,2015-11-06,2015-12-01,5.42,5.42,0.08,7,ts_extend
41,LSNGP,S2,BASE,3.81,2.42,2015-11-09,2015-11-10,2015-11-17,11.77,11.98,1.80,4,rotate_atr20
42,TORSP,S2,STRONG,5.81,3.88,2015-11-12,2015-11-13,2015-11-23,0.23,0.27,16.69,6,ts_extend
43,NKSH,S2,BASE,3.91,4.07,2015-11-16,2015-11-17,2015-11-25,9.97,10.08,1.18,5,max_hold
44,JNOS,S2,BASE,4.01,6.93,2015-11-20,2015-11-23,2015-11-30,25.04,24.16,-3.51,5,max_hold
45,MFGSP,S2,STRONG,9.63,3.30,2015-11-24,2015-11-25,2015-12-03,539.86,591.42,9.55,6,ts_extend
46,CBOM,S2,BASE,3.61,2.26,2015-11-27,2015-11-30,2015-12-01,3.84,3.84,0.20,1,rotate_atr20
47,SELG,S2,STRONG,5.15,3.56,2015-11-30,2015-12-01,2015-12-09,6.41,8.65,34.87,6,ts_extend
48,JNOSP,S2,STRONG,8.52,4.00,2015-12-03,2015-12-04,2015-12-15,24.04,25.54,6.26,6,ts_extend
49,TGKBP,S2,STRONG,6.98,5.37,2015-12-08,2015-12-09,2015-12-18,0.00,0.00,6.71,6,ts_extend
50,NNSB,S2,BASE,4.96,2.40,2015-12-10,2015-12-15,2015-12-30,1051.68,975.44,-7.25,1,rotate_atr20
51,TRMK,S2,STRONG,9.46,2.39,2015-12-17,2015-12-18,2015-12-28,64.10,68.28,6.51,6,ts_extend
52,WTCM,S2,STRONG,9.46,5.32,2015-12-28,2015-12-29,2016-01-15,9.06,9.58,5.67,6,ts_extend
53,MFGS,S2,STRONG,8.54,4.22,2015-12-29,2015-12-30,2016-01-18,651.04,647.42,-0.56,6,ts_extend
54,AFKS,S1,STRONG,5.55,2.65,2016-01-14,2016-01-15,2016-01-25,17.64,17.68,0.23,6,ts_extend
55,PHOR,S2,BASE,4.28,2.78,2016-01-22,2016-01-25,2016-02-01,2779.44,2747.52,-1.15,5,ts_extend
56,KCHE,S2,STRONG,5.20,6.11,2016-01-29,2016-02-01,2016-02-09,0.12,0.12,0.14,6,ts_extend
57,NKNCP,S2,STRONG,8.19,2.98,2016-02-08,2016-02-09,2016-02-16,24.64,24.76,0.49,5,rotate_atr20
58,MAGE,S2,BASE,4.23,4.94,2016-02-05,2016-02-09,2016-02-18,3.02,3.19,5.62,5,max_hold
59,ROST,S2,BASE,4.58,9.07,2016-02-15,2016-02-16,2016-02-22,60.40,66.25,9.69,5,ts_extend
60,MRKZ,S2,BASE,4.23,3.80,2016-02-17,2016-02-18,2016-02-25,0.03,0.03,-0.70,5,ts_extend
61,RKKE,S2,STRONG,5.54,3.06,2016-02-24,2016-02-25,2016-03-04,3405.44,3418.84,0.39,6,ts_extend
62,AFLT,S1,BASE,3.90,2.92,2016-03-01,2016-03-02,2016-03-10,61.20,67.39,10.12,5,ts_extend
63,LSRG,S2,STRONG,9.47,1.86,2016-03-03,2016-03-04,2016-03-16,654.04,675.92,3.34,7,max_hold
64,VLHZ,S2,BASE,5.06,1.88,2016-03-15,2016-03-16,2016-03-21,137.72,149.76,8.74,3,rotate_atr20
65,MRKC,S2,BASE,4.03,2.80,2016-03-15,2016-03-16,2016-03-22,0.24,0.24,-0.28,4,rotate_atr20
66,ABRD,S2,BASE,4.22,7.28,2016-03-18,2016-03-21,2016-03-28,91.65,98.44,7.42,5,ts_extend
67,RTGZ,S2,BASE,4.53,6.29,2016-03-21,2016-03-22,2016-04-05,13421.44,14126.46,5.25,5,ts_extend
68,KRKOP,S2,BASE,3.60,7.03,2016-03-25,2016-03-28,2016-04-04,2.44,2.78,13.59,5,ts_extend
69,DVEC,S2,BASE,5.07,2.51,2016-04-04,2016-04-05,2016-04-12,0.66,0.70,5.41,5,ts_extend
70,KMEZ,S2,BASE,4.67,4.78,2016-04-11,2016-04-12,2016-04-19,428.68,429.21,0.12,5,ts_extend
71,AFKS,S1,BASE,3.76,1.92,2016-04-12,2016-04-13,2016-04-20,18.78,19.35,3.06,5,ts_extend
72,SARE,S2,BASE,3.70,5.11,2016-04-18,2016-04-19,2016-04-20,0.25,0.35,39.40,1,rotate_atr20
73,SAREP,S2,STRONG,5.87,6.50,2016-04-18,2016-04-19,2016-04-27,0.19,0.24,30.78,6,ts_extend
74,MRKU,S2,STRONG,5.52,8.30,2016-04-19,2016-04-20,2016-04-28,0.12,0.12,-0.28,6,ts_extend
75,TNSE,S2,STRONG,5.18,2.63,2016-04-26,2016-04-27,2016-05-10,1677.68,1699.60,1.31,6,ts_extend
76,MRKU,S2,STRONG,7.11,4.85,2016-05-16,2016-05-17,2016-05-25,0.12,0.13,8.23,6,ts_extend
77,WTCMP,S2,BASE,4.45,6.88,2016-05-30,2016-05-31,2016-06-15,6.52,6.42,-1.56,5,ts_extend
78,PMSB,S2,STRONG,9.34,1.87,2016-06-27,2016-06-28,2016-07-06,54.09,53.14,-1.76,6,ts_extend
79,PMSBP,S2,STRONG,9.49,1.64,2016-06-27,2016-06-28,2016-07-06,54.09,53.14,-1.76,6,ts_extend
80,TORSP,S2,STRONG,8.51,2.44,2016-07-06,2016-07-07,2016-07-15,0.49,0.50,3.75,6,ts_extend
81,NNSBP,S2,STRONG,7.62,2.17,2016-07-06,2016-07-07,2016-07-21,995.59,978.09,-1.76,6,ts_extend
