=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:26:29
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2.5
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,2.5
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1016
Средняя доходность %,4.00
Медианная доходность %,1.29
Win rate %,65.5
Profit factor,5.30
Sharpe,2.46
Макс просадка %,50.12
Общая доходность %,1995110065.19
CAGR %,0.00
Макс выигрыш %,122.29
Макс проигрыш %,-28.12
Ср. выигрыш %,7.54
Ср. проигрыш %,2.69
Макс серия побед,18
Макс серия потерь,5
Ср. удержание дней,4.8
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
1,SIBN,S2,BASE,2.94,3.25,2015-01-21,2015-01-22,2015-01-29,155.75,154.06,-1.08,5,ts_extend
2,AMEZ,S2,BASE,3.71,8.77,2015-01-28,2015-01-29,2015-02-05,5.37,5.85,8.92,5,ts_extend
3,PLZL,S2,BASE,2.59,3.82,2015-02-11,2015-02-12,2015-02-19,110.23,116.16,5.39,5,ts_extend
4,GAZP,S1,BASE,2.55,3.20,2015-02-12,2015-02-13,2015-02-20,162.66,164.34,1.03,5,ts_extend
5,TTLK,S2,BASE,4.78,2.59,2015-02-17,2015-02-19,2015-02-25,0.15,0.15,-1.62,2,rotate_atr20
6,TORSP,S2,ULTRA,8.23,5.20,2015-02-18,2015-02-19,2015-03-04,0.27,0.26,-1.96,6,ts_extend
7,MTLRP,S2,BASE,2.67,8.61,2015-02-24,2015-02-25,2015-03-04,55.50,68.60,23.61,5,ts_extend
8,MRKK,S2,BASE,3.00,6.28,2015-03-03,2015-03-04,2015-03-12,18.58,19.39,4.38,5,ts_extend
9,MRKY,S2,BASE,3.22,6.96,2015-03-03,2015-03-04,2015-03-12,0.04,0.04,-0.80,5,ts_extend
10,KZOS,S2,STRONG,6.75,3.23,2015-03-12,2015-03-13,2015-03-17,19.03,20.97,10.17,2,rotate_atr20
11,SAGOP,S2,STRONG,6.07,5.30,2015-03-12,2015-03-13,2015-03-23,0.23,0.29,29.47,6,ts_extend
12,YKEN,S2,ULTRA,8.71,8.52,2015-03-16,2015-03-17,2015-03-26,0.17,0.18,2.15,6,ts_extend
13,MFGS,S2,BASE,2.88,4.06,2015-03-18,2015-03-24,2015-04-01,825.32,812.46,-1.56,5,ts_extend
14,MVID,S2,BASE,2.51,4.58,2015-03-31,2015-04-01,2015-04-03,197.32,194.89,-1.23,2,rotate_atr20
15,KMEZ,S2,STRONG,6.66,10.28,2015-03-31,2015-04-01,2015-04-13,476.76,564.89,18.49,6,ts_extend
