=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:29:38
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
BASE minVR,3.6
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,784
Средняя доходность %,5.15
Медианная доходность %,1.80
Win rate %,70.3
Profit factor,8.29
Sharpe,3.07
Макс просадка %,39.88
Общая доходность %,95661746882.00
CAGR %,0.00
Макс выигрыш %,98.33
Макс проигрыш %,-28.12
Ср. выигрыш %,8.33
Ср. проигрыш %,2.38
Макс серия побед,16
Макс серия потерь,5
Ср. удержание дней,4.9
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
39,LSNGP,S2,BASE,5.12,4.07,2015-10-06,2015-10-07,2015-10-08,12.17,12.08,-0.73,1,rotate_atr20
40,KRSBP,S2,ULTRA,8.83,5.56,2015-10-06,2015-10-07,2015-10-16,2.94,2.89,-1.96,6,ts_extend
41,SBERP,S1,BASE,3.69,2.15,2015-10-07,2015-10-08,2015-10-15,64.34,67.14,4.35,5,max_hold
42,YKENP,S2,ULTRA,9.05,8.66,2015-10-07,2015-10-08,2015-10-16,0.23,0.31,36.19,6,ts_extend
43,MFGSP,S2,BASE,5.10,1.93,2015-10-15,2015-10-16,2015-10-23,623.00,634.95,1.92,5,ts_extend
44,TNSE,S2,BASE,6.82,1.59,2015-10-22,2015-10-23,2015-10-28,1476.86,1444.68,-2.18,3,rotate_atr20
45,BSPB,S2,BASE,3.85,1.99,2015-10-22,2015-10-23,2015-10-30,39.86,39.87,0.01,5,ts_extend
46,NMTP,S2,BASE,5.76,2.45,2015-10-27,2015-10-28,2015-11-05,3.08,3.16,2.60,5,ts_extend
47,KMAZ,S2,BASE,6.65,1.81,2015-11-03,2015-11-05,2015-11-12,35.86,35.69,-0.48,5,ts_extend
48,RGSS,S1,ULTRA,9.43,1.46,2015-11-05,2015-11-06,2015-12-01,5.42,5.41,-0.12,7,ts_extend
49,ARSA,S2,BASE,5.27,4.68,2015-11-12,2015-11-13,2015-11-20,1.01,1.09,8.55,5,ts_extend
50,TORSP,S2,BASE,5.81,3.88,2015-11-12,2015-11-13,2015-11-20,0.23,0.27,16.93,5,ts_extend
51,MRKS,S2,BASE,3.96,4.02,2015-11-20,2015-11-23,2015-11-30,0.05,0.05,-0.24,5,ts_extend
52,JNOS,S2,BASE,4.01,6.93,2015-11-20,2015-11-23,2015-11-30,25.04,24.16,-3.51,5,max_hold
53,CBOM,S2,BASE,3.61,2.26,2015-11-27,2015-11-30,2015-12-07,3.84,3.81,-0.56,5,ts_extend
54,STSBP,S2,BASE,3.83,2.21,2015-12-04,2015-12-07,2015-12-14,0.25,0.24,-1.56,5,ts_extend
55,LVHK,S2,BASE,3.78,1.89,2015-12-11,2015-12-14,2015-12-24,8.66,8.53,-1.56,5,ts_extend
56,WTCM,S2,ULTRA,9.46,5.32,2015-12-28,2015-12-29,2016-01-15,9.06,9.56,5.46,6,ts_extend
57,AFKS,S1,BASE,5.55,2.65,2016-01-14,2016-01-15,2016-01-22,17.64,17.41,-1.27,5,ts_extend
58,BISVP,S2,BASE,5.26,2.50,2016-01-12,2016-01-15,2016-01-27,4.12,4.14,0.65,5,max_hold
59,KCHE,S2,BASE,5.20,6.11,2016-01-29,2016-02-01,2016-02-08,0.12,0.12,0.34,5,ts_extend
60,NKNCP,S2,ULTRA,8.19,2.98,2016-02-08,2016-02-09,2016-02-16,24.64,24.76,0.49,5,rotate_atr20
61,MAGE,S2,BASE,4.23,4.94,2016-02-05,2016-02-09,2016-02-18,3.02,3.19,5.62,5,max_hold
62,ROST,S2,BASE,4.58,9.07,2016-02-15,2016-02-16,2016-02-22,60.40,66.25,9.69,5,ts_extend
63,MRKZ,S2,BASE,4.23,3.80,2016-02-17,2016-02-18,2016-02-25,0.03,0.03,-0.70,5,ts_extend
64,RKKE,S2,BASE,5.54,3.06,2016-02-24,2016-02-25,2016-03-03,3405.44,3396.26,-0.27,5,ts_extend
65,AFLT,S1,BASE,3.90,2.92,2016-03-01,2016-03-02,2016-03-10,61.20,67.39,10.12,5,ts_extend
66,LSRG,S2,ULTRA,9.47,1.86,2016-03-03,2016-03-04,2016-03-10,654.04,651.96,-0.32,3,rotate_atr20
67,RKKE,S2,BASE,6.86,3.30,2016-03-03,2016-03-04,2016-03-14,3435.49,3465.17,0.86,5,ts_extend
68,VRSBP,S2,BASE,6.31,4.59,2016-03-09,2016-03-10,2016-03-21,20.33,20.47,0.66,5,max_hold
69,LSNG,S2,BASE,4.69,3.98,2016-03-14,2016-03-15,2016-03-22,2.75,3.10,12.40,5,ts_extend
70,ABRD,S2,BASE,4.22,7.28,2016-03-18,2016-03-21,2016-03-28,91.65,98.44,7.42,5,ts_extend
71,KZOS,S2,ULTRA,7.69,3.13,2016-03-21,2016-03-22,2016-03-30,40.06,41.08,2.54,6,ts_extend
72,KRKOP,S2,BASE,3.60,7.03,2016-03-25,2016-03-28,2016-04-04,2.44,2.78,13.59,5,ts_extend
73,YKENP,S2,ULTRA,8.94,4.45,2016-03-31,2016-04-01,2016-04-11,0.34,0.39,15.90,6,ts_extend
74,DVEC,S2,BASE,5.07,2.51,2016-04-04,2016-04-05,2016-04-07,0.66,0.68,2.24,2,rotate_atr20
75,KROTP,S2,BASE,4.17,4.15,2016-04-06,2016-04-07,2016-04-15,92.15,96.97,5.23,5,ts_extend
76,YKEN,S2,BASE,3.67,10.48,2016-04-08,2016-04-11,2016-04-18,0.38,0.38,-0.43,5,ts_extend
77,AFKS,S1,BASE,3.76,1.92,2016-04-12,2016-04-13,2016-04-20,18.78,19.35,3.06,5,ts_extend
78,NKNC,S2,BASE,6.53,3.14,2016-04-14,2016-04-15,2016-04-20,51.88,53.11,2.37,3,rotate_atr20
79,PLZL,S2,BASE,5.75,2.35,2016-04-15,2016-04-18,2016-04-19,415.66,428.31,3.04,1,rotate_atr20
80,SAREP,S2,BASE,5.87,6.50,2016-04-18,2016-04-19,2016-04-26,0.19,0.24,31.05,5,ts_extend
81,MRKU,S2,BASE,5.52,8.30,2016-04-19,2016-04-20,2016-04-27,0.12,0.12,-0.49,5,ts_extend
82,TNSE,S2,BASE,5.18,2.63,2016-04-26,2016-04-27,2016-05-06,1677.68,1703.05,1.51,5,ts_extend
83,MRKU,S2,ULTRA,7.11,4.85,2016-05-16,2016-05-17,2016-05-25,0.12,0.13,8.01,6,ts_extend
84,WTCMP,S2,BASE,4.45,6.88,2016-05-30,2016-05-31,2016-06-15,6.52,6.42,-1.56,5,ts_extend
85,PMSB,S2,ULTRA,9.34,1.87,2016-06-27,2016-06-28,2016-07-06,54.09,53.03,-1.96,6,ts_extend
86,PMSBP,S2,ULTRA,9.49,1.64,2016-06-27,2016-06-28,2016-07-06,54.09,53.03,-1.96,6,ts_extend
87,TORSP,S2,ULTRA,8.51,2.44,2016-07-06,2016-07-07,2016-07-15,0.49,0.50,3.54,6,ts_extend
88,NNSBP,S2,ULTRA,7.62,2.17,2016-07-06,2016-07-07,2016-07-21,995.59,976.11,-1.96,6,ts_extend
89,MGTS,S2,BASE,5.72,3.40,2016-07-14,2016-07-15,2016-07-22,929.48,929.29,-0.02,5,ts_extend
90,SELG,S2,BASE,5.15,2.33,2016-07-20,2016-07-21,2016-07-28,9.01,9.35,3.75,5,ts_extend
91,OGKB,S2,BASE,6.73,2.09,2016-07-21,2016-07-22,2016-07-25,0.30,0.32,5.11,1,rotate_atr20
92,MRKK,S2,BASE,3.98,4.01,2016-07-22,2016-07-25,2016-08-01,17.03,17.47,2.62,5,ts_extend
93,MGNT,S1,BASE,4.01,2.62,2016-07-25,2016-07-26,2016-08-02,10491.76,10431.92,-0.57,5,ts_extend
94,ARSA,S2,BASE,6.22,2.10,2016-07-27,2016-07-28,2016-08-04,2.62,2.58,-1.56,5,ts_extend
95,BANE,S2,BASE,6.71,2.54,2016-07-29,2016-08-01,2016-08-08,3070.91,3091.09,0.66,5,ts_extend
96,AKRN,S2,BASE,4.02,2.36,2016-08-03,2016-08-04,2016-08-11,3650.83,3593.96,-1.56,5,ts_extend
97,MRKP,S2,BASE,4.52,3.98,2016-08-09,2016-08-10,2016-08-17,0.10,0.10,0.25,5,ts_extend
98,KMAZ,S2,BASE,4.46,1.65,2016-08-10,2016-08-11,2016-08-15,36.31,36.24,-0.18,2,rotate_atr20
99,LNZL,S2,BASE,3.72,2.70,2016-08-12,2016-08-15,2016-08-16,10286.43,10383.36,0.94,1,rotate_atr20
