=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T22:55:04
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2.5
Макс VR,10
Дней сигнала,1
ATR мин %,1.2
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.45
Макс дн. доходность %,10
VR подтверждение,1.5
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,22
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7
ULTRA maxHold,15
ULTRA TS after,6
ULTRA TS dist %,2.6
STRONG minVR,6.5
STRONG maxHold,13
STRONG TS after,6
STRONG TS dist %,1.8
BASE minVR,2.5
BASE maxHold,10
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1292
Средняя доходность %,3.41
Медианная доходность %,1.10
Win rate %,63.1
Profit factor,4.25
Sharpe,2.32
Макс просадка %,42.37
Общая доходность %,1140373965.52
CAGR %,0.00
Макс выигрыш %,125.04
Макс проигрыш %,-22.12
Ср. выигрыш %,7.08
Ср. проигрыш %,2.85
Макс серия побед,12
Макс серия потерь,8
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
38,SAREP,S2,BASE,4.26,7.79,2015-06-30,2015-07-01,2015-07-08,0.07,0.09,37.28,5,ts_extend
39,PLZL,S2,ULTRA,7.96,5.23,2015-07-01,2015-07-02,2015-07-13,173.28,176.74,2.00,7,ts_extend
40,USBN,S2,BASE,2.76,6.06,2015-07-14,2015-07-15,2015-07-22,0.04,0.04,5.72,5,ts_extend
41,TATNP,S2,BASE,2.59,2.03,2015-07-22,2015-07-23,2015-07-30,159.05,156.58,-1.56,5,ts_extend
42,RTGZ,S2,BASE,2.62,8.29,2015-07-14,2015-07-23,2015-08-12,11768.80,13289.70,12.92,6,ts_extend
43,NKNCP,S2,BASE,2.84,2.48,2015-07-30,2015-07-31,2015-08-04,26.54,26.71,0.62,2,rotate_atr20
44,LNZLP,S2,BASE,3.36,5.49,2015-08-03,2015-08-04,2015-08-11,2383.81,2362.61,-0.89,5,ts_extend
45,RZSB,S2,BASE,4.51,11.82,2015-08-10,2015-08-11,2015-08-18,2.20,1.72,-22.12,4,cat_stop
46,YKENP,S2,BASE,5.22,6.27,2015-08-11,2015-08-12,2015-08-25,0.18,0.18,1.02,5,ts_extend
47,KRKOP,S2,BASE,3.54,7.93,2015-08-18,2015-08-19,2015-08-28,2.30,2.61,13.24,5,ts_extend
48,ABRD,S2,BASE,5.23,3.53,2015-08-24,2015-08-25,2015-08-26,95.15,103.83,9.12,1,rotate_atr20
49,KAZTP,S2,BASE,5.82,6.46,2015-08-25,2015-08-26,2015-09-02,55.09,59.07,7.22,5,ts_extend
50,MRKY,S2,BASE,5.24,4.61,2015-08-27,2015-08-28,2015-09-04,0.03,0.03,2.69,5,ts_extend
51,MTLR,S1,BASE,3.44,3.74,2015-08-28,2015-08-31,2015-09-07,68.50,72.27,5.50,5,ts_extend
52,RASP,S2,BASE,3.55,3.69,2015-09-03,2015-09-04,2015-09-09,41.04,41.72,1.68,3,rotate_atr20
53,BLNG,S2,BASE,4.90,3.77,2015-09-03,2015-09-04,2015-09-11,4.03,4.04,0.24,5,ts_extend
54,ROLO,S2,BASE,3.36,7.50,2015-09-08,2015-09-09,2015-09-29,0.11,0.11,2.34,6,ts_extend
55,TNSE,S2,BASE,3.38,1.20,2015-09-09,2015-09-11,2015-09-14,1355.67,1327.87,-2.05,1,rotate_atr20
56,YKENP,S2,BASE,3.88,5.37,2015-09-09,2015-09-14,2015-09-18,0.18,0.14,-22.12,4,cat_stop
57,RTKM,S1,BASE,3.15,2.18,2015-09-14,2015-09-15,2015-09-22,88.28,89.58,1.47,5,ts_extend
58,KZOSP,S2,BASE,2.83,6.23,2015-09-18,2015-09-21,2015-09-23,4.21,4.02,-4.35,2,rotate_atr20
59,VGSBP,S2,BASE,3.04,20.07,2015-09-22,2015-09-23,2015-10-02,1.15,1.37,19.22,6,ts_extend
60,GAZA,S2,BASE,3.79,9.07,2015-09-29,2015-09-30,2015-10-09,491.79,484.12,-1.56,5,ts_extend
61,MVID,S2,BASE,5.41,1.58,2015-10-01,2015-10-02,2015-10-05,209.23,205.37,-1.85,1,rotate_atr20
62,YKENP,S2,STRONG,6.90,8.22,2015-10-02,2015-10-05,2015-10-06,0.19,0.15,-22.12,1,cat_stop
63,LSNGP,S2,BASE,3.44,4.00,2015-10-05,2015-10-06,2015-10-08,12.17,12.08,-0.73,2,rotate_atr20
64,VTBR,S1,BASE,2.73,2.03,2015-10-07,2015-10-08,2015-10-15,370.59,388.11,4.73,5,ts_extend
65,SBERP,S1,BASE,3.69,2.15,2015-10-07,2015-10-08,2015-10-19,64.34,67.62,5.09,7,ts_extend
66,YKENP,S2,ULTRA,9.05,8.66,2015-10-07,2015-10-08,2015-10-16,0.23,0.31,35.08,6,ts_extend
67,MAGE,S2,BASE,3.02,9.77,2015-10-07,2015-10-09,2015-10-16,2.88,2.95,2.38,5,ts_extend
68,CHMF,S1,BASE,2.99,2.74,2015-10-15,2015-10-16,2015-10-23,712.84,731.33,2.59,5,ts_extend
69,MFGSP,S2,BASE,5.10,1.93,2015-10-15,2015-10-16,2015-10-19,623.00,600.04,-3.68,1,rotate_atr20
70,MFGS,S2,BASE,6.30,4.27,2015-10-15,2015-10-16,2015-10-23,620.99,646.77,4.15,5,ts_extend
71,KUZB,S2,STRONG,6.95,8.18,2015-10-16,2015-10-19,2015-10-28,0.02,0.02,6.70,6,ts_extend
72,TNSE,S2,STRONG,6.82,1.59,2015-10-22,2015-10-23,2015-11-05,1476.86,1470.64,-0.42,8,ts_extend
