=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T22:59:28
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,999
Дней сигнала,1
ATR мин %,1.2
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.45
Макс дн. доходность %,10
VR подтверждение,1.5
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,22
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,3.6
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1011
Средняя доходность %,4.27
Медианная доходность %,1.62
Win rate %,67.8
Profit factor,5.47
Sharpe,2.53
Макс просадка %,39.16
Общая доходность %,7163060077.23
CAGR %,0.00
Макс выигрыш %,126.89
Макс проигрыш %,-22.12
Ср. выигрыш %,7.71
Ср. проигрыш %,2.96
Макс серия побед,13
Макс серия потерь,6
Ср. удержание дней,4.9
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
1,KROTP,S2,ULTRA,26.83,10.56,2015-01-09,2015-01-12,2015-02-05,78.12,78.43,0.40,6,ts_extend
2,ZILL,S2,ULTRA,10.19,9.58,2015-02-12,2015-02-13,2015-02-24,300.48,420.60,39.98,6,ts_extend
3,UNKL,S2,ULTRA,9.49,11.96,2015-02-12,2015-02-13,2015-02-26,1402.24,1828.50,30.40,6,ts_extend
4,TGKA,S2,ULTRA,7.44,4.20,2015-02-25,2015-02-26,2015-03-02,0.00,0.00,-1.75,2,rotate_atr20
5,KZOS,S2,ULTRA,8.37,5.52,2015-02-25,2015-02-26,2015-03-10,18.03,17.84,-1.03,6,ts_extend
6,SAREP,S2,STRONG,5.24,6.86,2015-02-27,2015-03-02,2015-03-11,0.05,0.05,5.93,6,ts_extend
7,STSB,S2,ULTRA,13.69,2.58,2015-03-12,2015-03-13,2015-03-17,0.20,0.19,-4.62,2,rotate_atr20
8,KZOS,S2,STRONG,6.75,3.23,2015-03-12,2015-03-13,2015-03-23,19.03,22.60,18.74,6,ts_extend
9,YKEN,S2,ULTRA,8.71,8.52,2015-03-16,2015-03-17,2015-03-26,0.17,0.18,2.15,6,ts_extend
10,IRKT,S2,STRONG,5.35,3.31,2015-03-20,2015-03-23,2015-03-31,6.91,6.79,-1.76,6,ts_extend
11,MAGE,S2,BASE,3.61,12.92,2015-03-27,2015-03-30,2015-04-06,2.69,3.24,20.39,5,ts_extend
12,KMEZ,S2,STRONG,6.66,10.28,2015-03-31,2015-04-01,2015-04-13,476.76,564.89,18.49,6,ts_extend
13,LNZLP,S2,ULTRA,7.62,3.83,2015-04-07,2015-04-08,2015-04-16,1742.78,1754.97,0.70,6,ts_extend
14,AFLT,S1,BASE,4.49,3.73,2015-04-10,2015-04-13,2015-04-20,37.19,38.84,4.43,5,ts_extend
15,MSTT,S2,STRONG,5.46,3.21,2015-04-13,2015-04-14,2015-04-22,87.54,86.45,-1.24,6,ts_extend
16,DZRDP,S2,STRONG,5.49,6.39,2015-04-15,2015-04-16,2015-04-27,1252.00,1567.95,25.24,6,ts_extend
17,TGKB,S2,STRONG,6.30,7.91,2015-04-27,2015-04-28,2015-05-08,0.00,0.00,1.36,6,ts_extend
18,ARSA,S2,STRONG,5.72,6.24,2015-05-08,2015-05-12,2015-05-21,0.83,0.84,0.45,6,ts_extend
19,PMSBP,S2,ULTRA,36.50,2.94,2015-05-25,2015-05-26,2015-05-28,46.87,46.73,-0.32,2,rotate_atr20
20,PMSB,S2,STRONG,5.11,4.26,2015-05-25,2015-05-26,2015-06-09,45.97,48.14,4.71,7,ts_extend
21,MRKC,S2,BASE,4.42,4.51,2015-05-27,2015-05-28,2015-06-04,0.26,0.28,5.04,5,ts_extend
22,RTSBP,S2,STRONG,6.06,5.50,2015-06-03,2015-06-05,2015-06-17,0.23,0.26,13.44,6,ts_extend
23,RTKM,S1,BASE,4.63,1.86,2015-06-09,2015-06-10,2015-06-18,97.26,95.83,-1.46,5,ts_extend
