=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:24:43
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,2
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1184
Средняя доходность %,4.08
Медианная доходность %,1.36
Win rate %,65.4
Profit factor,5.84
Sharpe,2.52
Макс просадка %,44.75
Общая доходность %,31716217576.87
CAGR %,0.00
Макс выигрыш %,182.78
Макс проигрыш %,-28.12
Ср. выигрыш %,7.53
Ср. проигрыш %,2.44
Макс серия побед,17
Макс серия потерь,5
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
38,RTGZ,S2,BASE,2.62,8.29,2015-07-14,2015-07-23,2015-08-11,11768.80,10982.40,-6.68,5,max_hold
39,NKNCP,S2,BASE,2.84,2.48,2015-07-30,2015-07-31,2015-08-07,26.54,27.12,2.18,5,ts_extend
40,NMTP,S2,BASE,2.10,4.41,2015-08-06,2015-08-07,2015-08-14,3.05,3.15,3.12,5,ts_extend
41,YKENP,S2,STRONG,5.22,6.27,2015-08-11,2015-08-12,2015-08-26,0.18,0.18,0.81,6,ts_extend
42,LNZL,S2,BASE,3.05,2.04,2015-08-13,2015-08-14,2015-08-19,8002.78,8186.88,2.30,3,rotate_atr20
43,KRKOP,S2,BASE,3.54,7.93,2015-08-18,2015-08-19,2015-08-28,2.30,2.61,13.24,5,ts_extend
44,MSRS,S2,BASE,3.59,2.51,2015-08-26,2015-08-27,2015-09-01,0.89,0.86,-3.68,3,rotate_atr20
45,KAZTP,S2,ULTRA,9.71,6.42,2015-08-27,2015-08-28,2015-09-07,58.09,60.59,4.30,6,ts_extend
46,MTLR,S1,BASE,3.44,3.74,2015-08-28,2015-08-31,2015-09-07,68.50,72.27,5.50,5,ts_extend
47,MTLRP,S2,BASE,3.10,4.65,2015-08-31,2015-09-01,2015-09-08,46.28,48.38,4.54,5,ts_extend
48,UKUZ,S2,BASE,2.37,3.60,2015-09-07,2015-09-08,2015-09-15,688.10,935.20,35.91,5,ts_extend
49,RTKM,S1,BASE,3.15,2.18,2015-09-14,2015-09-15,2015-09-22,88.28,89.58,1.47,5,ts_extend
50,RTKMP,S2,STRONG,6.85,1.43,2015-09-14,2015-09-15,2015-09-17,59.29,59.01,-0.49,2,rotate_atr20
51,MRKU,S2,STRONG,6.18,3.35,2015-09-14,2015-09-15,2015-09-21,0.08,0.08,-0.06,4,rotate_atr20
52,LSNG,S2,BASE,4.13,4.61,2015-09-16,2015-09-17,2015-09-24,2.71,2.87,6.10,5,ts_extend
53,KZOSP,S2,BASE,2.83,6.23,2015-09-18,2015-09-21,2015-09-28,4.21,4.17,-0.78,5,ts_extend
54,DZRD,S2,BASE,3.27,4.81,2015-10-02,2015-10-05,2015-10-19,1317.10,1333.89,1.27,5,ts_extend
55,VTBR,S1,BASE,2.73,2.03,2015-10-07,2015-10-08,2015-10-15,370.59,388.11,4.73,5,ts_extend
56,SBERP,S1,BASE,3.69,2.15,2015-10-07,2015-10-08,2015-10-15,64.34,67.14,4.35,5,max_hold
57,TRMK,S2,BASE,2.76,2.78,2015-10-16,2015-10-19,2015-10-26,52.58,52.96,0.72,5,ts_extend
58,HYDR,S1,BASE,2.46,3.27,2015-10-20,2015-10-21,2015-10-28,0.67,0.67,0.13,5,ts_extend
59,VLHZ,S2,BASE,2.43,3.32,2015-10-27,2015-10-28,2015-11-05,118.19,145.69,23.27,5,ts_extend
60,NMTP,S2,STRONG,5.76,2.45,2015-10-27,2015-10-28,2015-11-06,3.08,3.15,2.39,6,ts_extend
61,KMAZ,S2,STRONG,6.65,1.81,2015-11-03,2015-11-05,2015-11-09,35.86,35.44,-1.15,2,rotate_atr20
62,RGSS,S1,ULTRA,9.43,1.46,2015-11-05,2015-11-06,2015-12-01,5.42,5.41,-0.12,7,ts_extend
63,SARE,S2,BASE,3.15,9.94,2015-11-05,2015-11-06,2015-11-13,0.15,0.16,5.49,5,ts_extend
64,GCHE,S2,BASE,3.06,2.78,2015-11-06,2015-11-09,2015-11-16,940.50,943.08,0.27,5,ts_extend
65,TORSP,S2,STRONG,5.81,3.88,2015-11-12,2015-11-13,2015-11-23,0.23,0.27,16.69,6,ts_extend
