=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:01:20
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,2
ATR мин %,1.2
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.45
Макс дн. доходность %,10
VR подтверждение,1.5
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,22
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,3.6
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,374
Средняя доходность %,4.26
Медианная доходность %,1.85
Win rate %,70.9
Profit factor,5.69
Sharpe,2.79
Макс просадка %,34.90
Общая доходность %,1243103.58
CAGR %,0.00
Макс выигрыш %,72.00
Макс проигрыш %,-22.12
Ср. выигрыш %,7.30
Ср. проигрыш %,3.12
Макс серия побед,15
Макс серия потерь,4
Ср. удержание дней,5.3
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
1,OGKB,S2,ULTRA,8.52,3.71,2015-02-13,2015-02-16,2015-02-25,0.19,0.19,-0.00,6,ts_extend
2,YKEN,S2,STRONG,6.07,7.78,2015-03-17,2015-03-18,2015-03-27,0.17,0.18,2.07,6,ts_extend
3,MSTT,S2,BASE,3.69,2.77,2015-05-06,2015-05-07,2015-05-15,90.74,92.14,1.54,5,ts_extend
4,NMTP,S2,STRONG,6.03,3.61,2015-05-18,2015-05-19,2015-05-27,1.70,1.96,15.74,6,ts_extend
5,RTKM,S1,BASE,3.70,2.14,2015-06-10,2015-06-11,2015-06-19,93.54,92.39,-1.23,5,ts_extend
6,BSPB,S2,BASE,3.94,3.82,2015-07-17,2015-07-20,2015-07-27,40.46,41.30,2.06,5,ts_extend
7,RZSB,S2,BASE,4.51,11.82,2015-08-10,2015-08-11,2015-08-18,2.20,1.72,-22.12,4,cat_stop
8,AMEZ,S2,STRONG,6.27,2.32,2015-08-12,2015-08-13,2015-08-21,5.21,5.33,2.42,6,ts_extend
9,KAZTP,S2,STRONG,5.82,6.46,2015-08-25,2015-08-26,2015-09-03,55.09,58.95,7.00,6,ts_extend
10,NKNC,S2,BASE,4.68,4.13,2015-09-21,2015-09-22,2015-09-24,40.26,31.36,-22.12,2,cat_stop
11,BSPB,S2,BASE,4.47,2.02,2015-10-23,2015-10-26,2015-11-02,40.01,39.39,-1.56,5,ts_extend
12,RGSS,S1,ULTRA,9.43,1.46,2015-11-05,2015-11-06,2015-12-01,5.42,5.41,-0.12,7,ts_extend
13,ARSA,S2,BASE,4.88,4.36,2015-11-13,2015-11-16,2015-11-23,1.00,1.07,7.13,5,ts_extend
14,SELG,S2,STRONG,5.15,3.56,2015-11-30,2015-12-01,2015-12-09,6.41,8.65,34.87,6,ts_extend
15,TRMK,S2,ULTRA,9.46,2.39,2015-12-17,2015-12-18,2015-12-28,64.10,68.14,6.30,6,ts_extend
16,NMTP,S2,ULTRA,8.98,4.90,2016-01-21,2016-01-22,2016-02-01,3.68,4.31,17.06,6,ts_extend
17,KCHE,S2,STRONG,5.20,6.11,2016-01-29,2016-02-01,2016-02-09,0.12,0.12,0.14,6,ts_extend
18,MRKZ,S2,BASE,4.23,3.80,2016-02-17,2016-02-18,2016-02-25,0.03,0.03,-0.70,5,ts_extend
19,VRSB,S2,BASE,4.62,6.92,2016-02-24,2016-03-01,2016-03-10,20.23,20.43,0.96,5,ts_extend
20,LVHK,S2,STRONG,5.23,1.26,2016-03-09,2016-03-10,2016-03-22,8.41,8.54,1.46,7,max_hold
21,KRSB,S2,ULTRA,7.32,4.10,2016-03-21,2016-03-22,2016-03-30,2.99,3.09,3.12,6,ts_extend
22,KZOS,S2,ULTRA,7.69,3.13,2016-03-21,2016-03-22,2016-03-30,40.06,41.08,2.54,6,ts_extend
23,MRKP,S2,BASE,4.19,2.43,2016-04-05,2016-04-06,2016-04-13,0.08,0.08,8.57,5,ts_extend
24,SVAV,S2,BASE,4.46,2.07,2016-04-12,2016-04-13,2016-04-20,453.72,476.46,5.01,5,ts_extend
25,MRKU,S2,STRONG,5.52,8.30,2016-04-19,2016-04-20,2016-04-28,0.12,0.12,-0.28,6,ts_extend
26,VLHZ,S2,ULTRA,9.51,1.53,2016-06-06,2016-06-07,2016-06-17,138.22,135.52,-1.96,6,ts_extend
27,TORSP,S2,ULTRA,8.51,2.44,2016-07-06,2016-07-07,2016-07-15,0.49,0.50,3.54,6,ts_extend
28,MISBP,S2,BASE,4.18,1.91,2016-07-06,2016-07-07,2016-07-25,4.61,4.48,-2.70,4,rotate_atr20
29,TGKN,S2,BASE,4.50,3.51,2016-07-20,2016-07-21,2016-07-28,0.00,0.00,72.00,5,ts_extend
30,MRKK,S2,BASE,3.98,4.01,2016-07-22,2016-07-25,2016-08-01,17.03,17.47,2.62,5,ts_extend
31,LSNG,S2,BASE,4.79,3.92,2016-08-02,2016-08-03,2016-08-10,4.22,5.71,35.24,5,ts_extend
32,KMAZ,S2,BASE,4.46,1.65,2016-08-10,2016-08-11,2016-08-18,36.31,36.28,-0.09,5,ts_extend
33,DZRD,S2,ULTRA,8.06,4.70,2016-08-17,2016-08-18,2016-09-06,1893.02,1855.98,-1.96,6,ts_extend
34,ARSA,S2,STRONG,6.40,3.95,2016-09-28,2016-09-29,2016-10-07,2.61,2.78,6.56,6,ts_extend
35,KZOS,S2,STRONG,6.87,1.96,2016-10-11,2016-10-12,2016-10-20,43.47,43.23,-0.56,6,ts_extend
36,CNTL,S2,ULTRA,7.48,5.60,2016-10-27,2016-10-28,2016-11-09,23.04,23.48,1.93,6,ts_extend
37,TGKA,S2,ULTRA,7.46,2.58,2016-11-08,2016-11-09,2016-11-17,0.01,0.01,6.02,6,ts_extend
38,HYDR,S1,BASE,3.82,2.77,2016-11-30,2016-12-01,2016-12-08,0.92,0.97,4.78,5,ts_extend
39,BRZL,S2,ULTRA,8.91,2.54,2016-12-02,2016-12-05,2016-12-13,1297.07,1289.26,-0.60,6,ts_extend
40,GAZAP,S2,ULTRA,10.00,2.13,2016-12-13,2016-12-14,2016-12-15,500.80,494.21,-1.32,1,rotate_atr20
41,RBCM,S2,BASE,4.75,4.60,2016-12-13,2016-12-14,2016-12-21,8.57,8.45,-1.43,5,ts_extend
42,USBN,S2,BASE,5.07,4.09,2016-12-14,2016-12-15,2016-12-22,0.14,0.14,-1.56,5,ts_extend
43,KRSBP,S2,BASE,4.51,2.31,2016-12-22,2016-12-23,2016-12-30,3.97,4.04,1.76,5,ts_extend
44,MGTSP,S2,BASE,4.64,1.30,2017-01-12,2017-01-13,2017-01-20,898.44,896.81,-0.18,5,ts_extend
45,HYDR,S1,BASE,3.65,2.48,2017-01-19,2017-01-20,2017-01-27,1.09,1.09,0.13,5,ts_extend
