=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:31:05
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8

=== ИТОГИ ===
Всего сделок,256
Средняя доходность %,5.70
Медианная доходность %,2.54
Win rate %,69.9
Profit factor,8.86
Sharpe,2.62
Макс просадка %,37.53
Общая доходность %,434541.46
CAGR %,0.00
Макс выигрыш %,126.89
Макс проигрыш %,-28.12
Ср. выигрыш %,9.19
Ср. проигрыш %,2.41
Макс серия побед,10
Макс серия потерь,4
Ср. удержание дней,6.0
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
39,GAZAP,S2,ULTRA,10.00,2.13,2016-12-13,2016-12-14,2016-12-22,500.80,498.06,-0.55,6,ts_extend
40,RTSBP,S2,ULTRA,7.46,2.14,2017-02-15,2017-02-16,2017-03-02,0.30,0.29,-1.96,6,ts_extend
41,BISVP,S2,ULTRA,7.50,1.59,2017-03-06,2017-03-09,2017-03-21,3.81,4.15,8.96,6,ts_extend
42,IGSTP,S2,ULTRA,7.54,5.09,2017-05-11,2017-05-12,2017-05-23,596.95,621.59,4.13,6,ts_extend
43,PMSBP,S2,ULTRA,8.69,1.53,2017-06-05,2017-06-06,2017-06-15,69.11,67.76,-1.96,6,ts_extend
44,KAZT,S2,ULTRA,7.80,1.58,2017-07-06,2017-07-07,2017-07-19,86.14,86.57,0.50,6,ts_extend
45,RTGZ,S2,ULTRA,8.94,1.73,2017-08-07,2017-08-08,2017-08-15,14973.92,14077.44,-5.99,5,rotate_atr20
46,NKHP,S2,ULTRA,7.35,2.97,2017-08-07,2017-08-08,2017-08-16,188.80,200.01,5.94,6,ts_extend
47,VGSB,S2,ULTRA,9.73,4.50,2017-08-14,2017-08-15,2017-08-25,1.02,1.05,3.19,6,ts_extend
48,FESH,S2,ULTRA,7.15,4.58,2017-08-17,2017-08-18,2017-08-28,4.59,4.61,0.45,6,ts_extend
49,LNZL,S2,ULTRA,8.08,3.48,2017-08-24,2017-08-25,2017-09-04,6800.86,6863.00,0.91,6,ts_extend
50,SAREP,S2,ULTRA,8.14,7.04,2017-08-29,2017-08-30,2017-09-07,0.08,0.08,10.94,6,ts_extend
51,UNAC,S2,ULTRA,7.92,2.00,2017-09-04,2017-09-05,2017-09-13,0.74,0.78,5.34,6,ts_extend
52,AFKS,S1,ULTRA,9.16,3.77,2017-09-05,2017-09-06,2017-09-14,14.12,14.10,-0.10,6,ts_extend
53,FESH,S2,ULTRA,7.70,5.56,2017-09-25,2017-09-26,2017-10-04,6.48,7.16,10.44,6,ts_extend
54,JNOSP,S2,ULTRA,7.52,1.47,2017-10-12,2017-10-13,2017-10-23,15.12,15.69,3.72,6,ts_extend
55,RZSB,S2,ULTRA,9.25,4.67,2017-11-09,2017-11-10,2017-11-20,3.53,3.52,-0.17,6,ts_extend
56,KZOS,S2,ULTRA,7.28,2.22,2018-02-14,2018-02-15,2018-03-02,81.13,88.24,8.76,10,ts_extend
57,WTCM,S2,ULTRA,8.79,9.52,2018-03-27,2018-03-28,2018-04-05,8.51,8.73,2.49,6,ts_extend
58,RKKE,S2,ULTRA,8.52,4.94,2018-04-06,2018-04-09,2018-04-17,6169.86,6372.79,3.29,6,ts_extend
59,MRKY,S2,ULTRA,9.53,4.55,2018-05-07,2018-05-08,2018-05-17,0.07,0.07,2.91,6,ts_extend
60,IRKT,S2,ULTRA,7.39,1.66,2018-05-22,2018-05-23,2018-05-31,14.67,15.49,5.57,6,ts_extend
61,TNSE,S2,ULTRA,8.81,1.46,2018-06-05,2018-06-06,2018-06-14,1277.04,1252.05,-1.96,6,ts_extend
62,DIOD,S2,ULTRA,7.74,4.00,2018-07-02,2018-07-03,2018-07-11,4.77,4.69,-1.70,6,ts_extend
63,CHMK,S2,ULTRA,9.80,1.83,2018-07-16,2018-07-17,2018-07-25,3099.95,3225.61,4.05,6,ts_extend
64,ROST,S2,ULTRA,7.93,2.78,2018-08-31,2018-09-03,2018-09-11,67.31,72.16,7.21,6,ts_extend
65,DZRD,S2,ULTRA,7.44,2.35,2018-09-11,2018-09-12,2018-09-25,2333.73,2362.83,1.25,6,ts_extend
66,MAGE,S2,ULTRA,7.53,7.45,2018-10-12,2018-10-15,2018-10-23,2.29,2.34,2.16,6,ts_extend
67,RGSS,S2,ULTRA,7.75,5.08,2018-10-22,2018-10-23,2018-10-31,0.33,0.42,24.56,6,ts_extend
68,KROT,S2,ULTRA,8.85,3.11,2018-12-03,2018-12-04,2018-12-12,358.07,365.70,2.13,6,ts_extend
69,AQUA,S2,ULTRA,8.77,3.97,2019-01-16,2019-01-17,2019-01-25,143.23,147.55,3.02,6,ts_extend
70,KOGK,S2,ULTRA,7.81,3.52,2019-01-30,2019-01-31,2019-02-08,525.84,588.26,11.87,6,ts_extend
71,GCHE,S2,ULTRA,8.71,1.74,2019-02-14,2019-02-15,2019-02-25,1432.29,1556.92,8.70,6,ts_extend
72,YKEN,S2,ULTRA,7.74,3.03,2019-02-22,2019-02-25,2019-03-05,0.26,0.26,2.88,6,ts_extend
73,RTSBP,S2,ULTRA,7.69,4.34,2019-03-27,2019-03-28,2019-04-05,0.25,0.24,-1.71,6,ts_extend
74,IRKT,S2,ULTRA,8.94,2.43,2019-04-18,2019-04-19,2019-04-29,43.07,43.00,-0.16,6,ts_extend
75,MRKU,S2,ULTRA,7.77,2.07,2019-05-28,2019-05-29,2019-06-06,0.18,0.18,-1.24,6,ts_extend
76,BELU,S2,ULTRA,8.10,4.07,2019-06-13,2019-06-14,2019-06-25,478.76,473.55,-1.09,7,ts_extend
